,mean,median,std,min,max
AmbientConditions.AmbientHumidity.U.Actual,15.330758801817145,15.12,1.188993135913415,13.84,17.24
AmbientConditions.AmbientTemperature.U.Actual,23.84363500851789,23.93,0.37353498418777364,23.02,24.43
Machine1.RawMaterial.Property1,11.851255678591707,11.54,0.5103091461556039,11.54,12.9
Machine1.RawMaterial.Property2,205.6763202725724,200.0,11.606323808867417,200.0,236.0
Machine1.RawMaterial.Property3,951.6798147359456,963.0,126.66200952087922,601.11,1048.06
Machine1.RawMaterial.Property4,248.86889551391255,247.0,3.297820396319409,247.0,257.0
Machine1.RawMaterialFeederParameter.U.Actual,1242.7642757373014,1264.44,95.84594642285927,231.3,1331.82
Machine1.Zone1Temperature.C.Actual,72.01333044774276,72.0,0.06318298861968272,71.9,72.5
Machine1.Zone2Temperature.C.Actual,72.01310569792378,72.0,0.40631277622236867,71.3,72.7
Machine1.MotorAmperage.U.Actual,70.33311111956843,71.98,5.525217328338072,44.4,88.53
Machine1.MotorRPM.C.Actual,11.07209423177811,10.73,0.6351717191379892,10.39,12.24
Machine1.MaterialPressure.U.Actual,409.0067239781232,416.96,20.478384882248122,359.47,487.25
Machine1.MaterialTemperature.U.Actual,81.4699995456573,81.3,0.9305622285610161,76.3,83.9
Machine1.ExitZoneTemperature.C.Actual,75.96616133705423,75.0,2.0590267076966455,69.7,80.0
Machine2.RawMaterial.Property1,12.793397217490062,12.85,0.10730175083523436,12.59,12.85
Machine2.RawMaterial.Property2,239.91148495173198,241.0,2.0634952083692792,236.0,241.0
Machine2.RawMaterial.Property3,566.3681906587166,556.7,18.327964440734714,556.7,601.11
Machine2.RawMaterial.Property4,256.21770300965363,256.0,0.4126990416738175,256.0,257.0
Machine2.RawMaterialFeederParameter.U.Actual,202.58531057703013,203.33,15.110900570819796,0.0,266.48
Machine2.Zone1Temperature.C.Actual,68.99690381378976,68.99,0.05702028176891162,68.67,69.66
Machine2.Zone2Temperature.C.Actual,69.10108284170997,69.09,0.10911449661823576,67.78,69.94089066
Machine2.MotorAmperage.U.Actual,73.39876168548979,73.44,0.3960512698857346,71.56,74.38
Machine2.MotorRPM.C.Actual,13.896802706779528,13.9,0.02916731588559616,13.82,13.97
Machine2.MaterialPressure.U.Actual,226.12223402673905,226.1,3.106394857122328,218.87,250.58
Machine2.MaterialTemperature.U.Actual,76.81227798046281,77.0,0.8550022331760156,68.8,77.4
Machine2.ExitZoneTemperature.C.Actual,60.00133112157156,60.0,0.16206985154035616,59.59871012,60.5
Machine3.RawMaterial.Property1,9.090484099943213,8.83,0.39660450092137495,8.83,9.86
Machine3.RawMaterial.Property2,205.64721749006247,221.0,16.319763552110988,186.0,221.0
Machine3.RawMaterial.Property3,425.01441226575804,433.18,9.559927689568879,408.97,433.18
Machine3.RawMaterial.Property4,203.03875638841566,205.0,2.177618017988159,200.0,205.0
Machine3.RawMaterialFeederParameter.U.Actual,202.37955466641117,202.91,15.653649305311038,0.0,259.07
Machine3.Zone1Temperature.C.Actual,78.00825139916809,78.0,0.07682632686424548,77.27836438,78.7
Machine3.Zone2Temperature.C.Actual,78.00495756705921,78.0,0.11482156344882795,77.7,78.6
Machine3.MotorAmperage.U.Actual,345.1115914862152,342.87,9.077714261085855,321.25,374.32
Machine3.MotorRPM.C.Actual,13.269664023842985,13.35,0.4345943122485465,11.96,14.0
Machine3.MaterialPressure.U.Actual,246.75025301444492,247.5,6.122104295376541,235.06,263.71
Machine3.MaterialTemperature.U.Actual,74.14026533293513,75.1,2.0582982686506286,65.3,75.5
Machine3.ExitZoneTemperature.C.Actual,65.00823205575313,65.0,0.062439880951794306,64.8,65.2
FirstStage.CombinerOperation.Temperature1.U.Actual,108.91797021204572,105.5,5.6698572679107775,45.3,118.9
FirstStage.CombinerOperation.Temperature2.U.Actual,84.89832276490203,74.8,18.57931920021254,53.3,115.2
FirstStage.CombinerOperation.Temperature3.C.Actual,80.00371430078933,80.0,0.11832653263246837,79.6,80.32163883
Stage1.Output.Measurement0.U.Actual,12.896918565585604,12.97,0.9342279698928007,0.0,20.88
Stage1.Output.Measurement0.U.Setpoint,13.69534355479841,13.75,0.8652120730598409,0.0,13.75
Stage1.Output.Measurement1.U.Actual,8.050511414027826,13.25,6.904337081303706,-3.132802862,19.14
Stage1.Output.Measurement1.U.Setpoint,22.649608177172066,22.74,1.4309034575552946,0.0,22.74
